resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac
3,2280.0,345.0,4.0,580.0
2,1577.0,237.0,6.0,80.0
14,12060.0,1961.0,43.0,437.0
14,47232.0,2003.0,40.0,110.0
5,358.0,353.0,10.0,256.0
10,13842.0,849.0,18.0,315.0
3,182.0,143.0,5.0,182.0
2,165.0,157.0,4.0,165.0
3,140.0,100.0,5.0,140.0
8,3204.0,865.0,17.0,388.0
1,172.0,121.0,3.0,118.0
10,1121.0,566.0,17.0,545.0
26,3822.0,2065.0,53.0,1577.0
14,1560.0,1490.0,29.0,1020.0
2,60.0,69.0,2.0,47.0
11,15610.0,807.0,19.0,710.0
4,2110.0,415.0,9.0,0.0
14,2857.0,1591.0,33.0,376.0
1,167.0,90.0,3.0,167.0
9,5223.0,966.0,18.0,50.0
33,5514.0,2384.0,72.0,2836.0
6,370.0,506.0,9.0,335.0
5,421.0,489.0,12.0,421.0
7,8009.0,640.0,11.0,557.0
17,1843.0,1304.0,45.0,1483.0
2,950.0,183.0,3.0,0.0
1,0.0,83.0,1.0,0.0
12,23208.0,1402.0,18.0,642.0
10,4702.0,1052.0,27.0,50.0
2,154.0,207.0,2.0,65.0
7,11380.0,682.0,14.0,926.0
4,542.0,342.0,9.0,187.0
15,1760.0,1444.0,43.0,1075.0
6,3723.0,586.0,7.0,110.0
